广州火车东站总站,113.331939,23.153409
林和西路,113.330404,23.149634
体育中心东门,113.33492,23.141941
体育东路,113.334708,23.137496
天河邮局,113.334585,23.135112
冼村路北,113.334538,23.131466
冼村路中,113.334468,23.125843
猎德,113.337938,23.124252
猎德东,113.338173,23.12418	
艺洲路东,113.336562,23.107378
广州塔码头,113.327279,23.112858
广州塔西,113.329654,23.11169
赤岗塔,113.327078,23.108531
新鸿花园,113.32369,23.110122
广州大桥底,113.320759,23.110484
珠江广场,113.317131,23.108344
中大北门,113.309559,23.10897
中大北门西,113.302377,23.109205	
珠江泳场,113.299934,23.109678
滨江东路,113.295852,23.112227
东晓路(天园路口),113.290602,23.112162	
仲恺路	,113.288501,23.110833
怡安花园朗晴居(素社),113.283211,23.112185
江湾桥南,113.283311,23.114161
大元帅府总站,113.286338,23.116395
